Date,Ticker,Price,SMA_20,SMA_50,RSI
2025-02-21 00:00:00-05:00,,,,,
2025-02-24 00:00:00-05:00,,,,,
2025-02-25 00:00:00-05:00,,,,,
2025-02-26 00:00:00-05:00,,,,,
2025-02-27 00:00:00-05:00,,,,,
2025-02-28 00:00:00-05:00,,,,,
2025-03-03 00:00:00-05:00,,,,,
2025-03-04 00:00:00-05:00,,,,,
2025-03-05 00:00:00-05:00,,,,,
2025-03-06 00:00:00-05:00,,,,,
2025-03-07 00:00:00-05:00,,,,,
2025-03-10 00:00:00-04:00,,,,,
2025-03-11 00:00:00-04:00,,,,,
2025-03-12 00:00:00-04:00,,,,,
2025-03-13 00:00:00-04:00,,,,,17.295121326857213
2025-03-14 00:00:00-04:00,,,,,28.103474838332453
2025-03-17 00:00:00-04:00,,,,,31.38906629462269
2025-03-18 00:00:00-04:00,,,,,32.92620568354804
2025-03-19 00:00:00-04:00,,,,,31.806565346361225
2025-03-20 00:00:00-04:00,,,124.63766975402832,,29.466587835278226
2025-03-21 00:00:00-04:00,,,123.91250648498536,,30.80167863704085
2025-03-24 00:00:00-04:00,,,123.25232124328613,,34.27923830753182
2025-03-25 00:00:00-04:00,,,122.57427978515625,,32.1941216498258
2025-03-26 00:00:00-04:00,,,121.85159721374512,,31.33646430078634
2025-03-27 00:00:00-04:00,,,121.4493350982666,,30.023272817030538
2025-03-28 00:00:00-04:00,,,120.89231986999512,,27.032395421090214
2025-03-31 00:00:00-04:00,,,120.42855262756348,,28.014640045195538
2025-04-01 00:00:00-04:00,,,119.99366912841796,,24.696419825702257
2025-04-02 00:00:00-04:00,,,119.4840919494629,,31.057519438762704
2025-04-03 00:00:00-04:00,,,118.65838851928712,,23.957479932904498
2025-04-04 00:00:00-04:00,,,117.49370574951172,,19.01645315943668
2025-04-07 00:00:00-04:00,,,116.59643287658692,,20.576828799714693
2025-04-08 00:00:00-04:00,,,115.52857666015625,,17.873780579902867
2025-04-09 00:00:00-04:00,,,114.90496826171875,,34.57652253194983
2025-04-10 00:00:00-04:00,,,114.05344047546387,,28.804278406374856
2025-04-11 00:00:00-04:00,,,113.1481388092041,,33.45494751119355
2025-04-14 00:00:00-04:00,,,112.3011318206787,,37.411206758310705
2025-04-15 00:00:00-04:00,,,111.32097587585449,,35.51334338727051
2025-04-16 00:00:00-04:00,,,110.36408805847168,,35.12399339315173
2025-04-17 00:00:00-04:00,,,109.49199485778809,,34.90812599959022
